name,amounts
KANYUM COUNTY,21
KUMI COUNTY,21
KUMI MUNICIPALITY,21
KWEEN COUNTY,104
BUTEMBA COUNTY,93
NTWETWE COUNTY,93
KYAKA COUNTY,84
KYAKA SOUTH COUNTY,84
MWENGE CENTRAL COUNTY,48
MWENGE COUNTY NORTH,48
MWENGE COUNTY SOUTH,48
LAMWO COUNTY,85
ERUTE COUNTY NORTH,22
ERUTE COUNTY SOUTH,22
LIRA MUNICIPALITY,22
LUUKA NORTH COUNTY,94
LUUKA SOUTH COUNTY,94
BAMUNANIKA COUNTY,23
KATIKAMU COUNTY NORTH,23
KATIKAMU COUNTY SOUTH,23
BUKOTO COUNTY MID?WEST,105
BUKOTO COUNTY WEST,105
BUKOTO COUNTYSOUTH,105
KABULA COUNTY,80
BUBULO COUNTY EAST,67
BUBULO COUNTY WEST,67
MARACHA COUNTY,77
MARACHA EAST COUNTY,77
BUKOTO COUNTY CENTRAL,24
BUKOTO COUNTY EAST,24
MASAKA MUNICIPALITY,24
BUJENJE COUNTY,25
BURULI COUNTY,25
MASINDI MUNICIPALITY,25
BUNYA COUNTY EAST,49
BUNYA COUNTY SOUTH,49
BUNYA COUNTY WEST,49
BUNGOKHO COUNTY NORTH,26
BUNGOKHO COUNTY SOUTH,26
MBALE MUNICIPALITY,26
KASHARI NORTH COUNTY,27
KASHARI SOUTH COUNTY,27
MBARARA MUNICIPALITY,27
RWAMPARA COUNTY,27
RUHINDA COUNTY,106
RUHINDA NORTH COUNTY,106
BUSUJJU COUNTY,68
MITYANA COUNTY NORTH,68
MITYANA COUNTY SOUTH,68
MITYANA MUNICIPALITY,68
MATHENIKO COUNTY,28
MOROTO MUNICIPALITY,28
TEPETH COUNTY,28
OBONGI COUNTY,29
WEST MOYO COUNTY,29
MAWOKOTA COUNTY NORTH,30
MAWOKOTA COUNTY SOUTH,30
BUKUYA COUNTY,31
BUWEKULA COUNTY,31
KASAMBYA COUNTY,31
KASSANDA COUNTY NORTH,31
KASSANDA COUNTY SOUTH,31
MUBENDE MUNICIPALITY,31
MUKONO COUNTY NORTH,32
MUKONO COUNTY SOUTH,32
MUKONO MUNICIPALITY,32
NAKIFUMA COUNTY,32
CHEKWII COUNTY (KADAM),56
PIAN COUNTY,56
NAKASEKE NORTH COUNTY,69
NAKASEKE SOUTH COUNTY,69
BUDYEBO COUNTY,44
NAKASONGOLA COUNTY,44
BUKOOLI ISLAND COUNTY,95
BUKOOLI SOUTH COUNTY,95
BUKONO COUNTY,75
BUSIKI COUNTY,75
BOKORA COUNTY,107
JONAM COUNTY,33
PADYERE COUNTY,33
NGORA COUNTY,108
NTOROKO COUNTY,96
KAJARA COUNTY,34
NTUNGAMO MUNICIPALITY,34
RUHAAMA COUNTY,34
RUSHENYI COUNTY,34
NWOYA COUNTY,110
OTUKE COUNTY,86
OYAM COUNTY NORTH,76
OYAM COUNTY SOUTH,76
ARUU COUNTY,50
ARUU NORTH COUNTY,50
AGULE COUNTY,35
BUTEBO COUNTY,35
KIBALE COUNTY,35
PALLISA COUNTY,35
BUYAMBA COUNTY,36
KAKUUTO COUNTY,36
KOOKI COUNTY,36
KYOTERA COUNTY,36
BUNYARUGURU COUNTY,112
KATERERA COUNTY,112
RUBABO COUNTY,37
RUJUMBURA COUNTY,37
RUKUNGIRI MUNICIPALITY,37
KASILO COUNTY,97
SERERE COUNTY,97
SHEEMA COUNTY NORTH,101
SHEEMA COUNTY SOUTH,101
BUDADIRI COUNTY  WEST,51
BUDADIRI COUNTY EAST,51
DAKABELA COUNTY,38
SOROTI COUNTY,38
SOROTI MUNICIPALITY,38
LWEMIYAGA COUNTY,45
MAWOGOLA COUNTY,45
MAWOGOLA NORTH COUNTY,45
NORTH,39
SOUTH,39
TORORO COUNTY,39
TORORO MUNICIPALITY,39
TORORO NORTH COUNTY,39
BUSIRO COUNTY EAST,52
BUSIRO COUNTY NORTH,52
BUSIRO COUNTY SOUTH,52
ENTEBBE MUNICIPALITY,52
KIRA MUNICIPALITY,52
KYADONDO COUNTY EAST,52
MUNICIPALITY,52
NANSANA MUNICIPALITY,52
ARINGA COUNTY,53
ARINGA NORTH COUNTY,53
ARINGA SOUTH COUNTY,53
OKORO COUNTY,87
ORA COUNTY,87
